id,serial,pub,class,refclass
7202999,Advances in Mathematics,2020,"['65M80', '22E25', '33C10', '15A67']","['00A20', '00A22', '11B68', '11M06', '11M99', '11Y70', '15A66', '17B10', '17B22', '17B25', '17B30', '17B30', '17B35', '17B60', '17B70', '17B70', '17C10', '20G20', '22E15', '22E25', '22E25', '22E25', '22E25', '22E25', '22E25', '22E25', '22E25', '22E25', '22E25', '22E25', '22E27', '22E30', '22E30', '22E30', '22E30', '22E30', '22E30', '22E30', '22E45', '22E45', '22E45', '22E46', '22E47', '22E60', '32W05', '33-00', '35A07', '35A08', '35A08', '35A08', '35A08', '35A08', '35C11', '35C15', '35C15', '35C15', '35D05', '35D05', '35G05', '35H10', '35H20', '35H20', '35K05', '35N15', '35R03', '35R03', '35S05', '35S05', '35S99', '37D99', '41A55', '43A80', '43A80', '43A80', '43A80', '43A80', '43A80', '43A80', '43A80', '44A10', '46C99', '46F10', '47G30', '53C17', '53C17', '53C17', '53C22', '53C50', '58J40', '58J40', '58J50', '58J70', '58J70', '58J99', '62Q05', '65A05', '65Dxx', '65H10', '65H10']"
7203000,Advances in Mathematics,2020,"['53C45']","['00A07', '52-02', '52A15', '52A15', '52A20', '52A20', '52A99', '53-02', '53C20', '53C20', '53C20', '53C20', '53C20', '53C20', '53C20', '53C20', '53C20', '53C20', '53C21', '53C22', '53C22', '53C22', '53C22', '53C22', '53C23', '53C23', '53C45', '53C45', '53C45', '53C45', '53C45', '53C45', '53C45', '53C45', '53C45', '53C45', '53C45', '53C70', '54E50', '57R45', '57R70', '58A03', '58C25', '58D17', '58E10', '58K99']"
7203001,Advances in Mathematics,2020,"['05C10', '05C76', '53C24']","['05-02', '05-02', '05C10', '05C10', '05C10', '05C12', '05C22', '05C25', '05C25', '05C38', '05C50', '05C50', '05C75', '05C75', '05C76', '05C76', '05C76', '05C80', '05C81', '05C81', '05C90', '05C99', '05C99', '05E30', '28D05', '35A23', '35B65', '35J60', '35K05', '35K05', '35K08', '35P15', '35R01', '35R02', '49N90', '49Q20', '51K10', '52C99', '52C99', '53-02', '53A40', '53B20', '53C20', '53C20', '53C21', '53C21', '53C21', '53C23', '53C23', '53C44', '53Cxx', '54E35', '58J35', '60-02', '60J10', '60J27', '60J60', '60J99', '82B30', '82C41', '90-02', '90B20', '90C08', '90C08']"
7203002,Advances in Mathematics,2020,"['22E45', '11F67']","['11F41', '11F46', '11F55', '11F66', '11F66', '11F67', '11F67', '11F67', '11F70', '11F70', '11F70', '11F70', '11F70', '11F70', '11F75', '11F85', '11R39', '17-01', '20G05', '20G45', '22-01', '22-01', '22D30', '22E10', '22E15', '22E30', '22E30', '22E35', '22E41', '22E45', '22E45', '22E45', '22E46', '22E46', '22E46', '22E46', '22E50', '22E50', '22E50', '22E50', '22E55', '22E55', '22E55', '32M15', '43A32', '43A85', '57Q45']"
7203003,Advances in Mathematics,2020,"['46B04', '46A22', '05C55', '37B05', '46B42']","['01A75', '03C13', '03C15', '03C30', '03C30', '03C52', '03C65', '03C90', '03C98', '03C98', '05B30', '05C55', '05D10', '05D10', '05D10', '05D10', '05D10', '22A05', '22D40', '22F50', '26E35', '28-02', '28A20', '28A35', '28A99', '28C15', '37-02', '37A15', '37A15', '37A15', '37B05', '37B05', '37B10', '43A05', '43A07', '46-02', '46-02', '46-02', '46-XX', '46A16', '46A22', '46A55', '46A55', '46B03', '46B03', '46B04', '46B04', '46B04', '46B04', '46B04', '46B07', '46B07', '46B08', '46B09', '46B10', '46B15', '46B15', '46B20', '46B20', '46B20', '46B20', '46B20', '46B20', '46B20', '46B20', '46B20', '46B25', '46B25', '46B25', '46B25', '46B26', '46B42', '46B42', '46B45', '46B99', '46B99', '46B99', '46C50', '46E15', '46E30', '46E30', '46E30', '46E30', '46E30', '46E30', '46J15', '46L05', '46L07', '46L10', '46L89', '46M07', '46M35', '47B38', '52A20', '52A21', '53C20', '54E35', '54E35', '54E35', '54H20', '54H20', '55M20', '55R10', '58J50', '60-02', '60-02', '60B99', '60E05', '60E15', '62Hxx', '82B44']"
7203004,Advances in Mathematics,2020,"['20-XX', '22-XX']","['03D40', '05C05', '05C20', '05C25', '05C25', '06A12', '06D22', '06E15', '06E15', '06E15', '06F05', '06F07', '08A30', '14H30', '16S50', '16T25', '16W10', '16W80', '18-02', '18B35', '18B40', '18B40', '18B40', '18B40', '18B40', '18B40', '18B40', '18B40', '18D10', '18D10', '18D50', '18D99', '18G30', '19D55', '20-02', '20-02', '20B22', '20B22', '20B27', '20B27', '20E07', '20E08', '20E32', '20E32', '20E32', '20E32', '20E32', '20E32', '20E32', '20E32', '20E32', '20E32', '20E32', '20E32', '20E32', '20E42', '20F05', '20F05', '20F05', '20F05', '20F05', '20F05', '20F05', '20F05', '20F05', '20F10', '20F10', '20F10', '20F10', '20F10', '20F10', '20F29', '20F36', '20F38', '20F38', '20F38', '20F65', '20F65', '20F65', '20F65', '20F65', '20F65', '20F65', '20F65', '20F69', '20H25', '20J05', '20J05', '20J05', '20L05', '20L05', '20L05', '20L05', '20M05', '20M05', '20M05', '20M05', '20M05', '20M10', '20M10', '20M10', '20M10', '20M15', '20M15', '20M18', '20M18', '20M18', '20M18', '20M18', '20M18', '20M18', '20M18', '20M18', '20M18', '20M18', '20M18', '20M30', '20M30', '20M30', '20M32', '20M50', '20Mxx', '22A22', '22A22', '22A22', '22A22', '22A22', '22A22', '22A22', '37B05', '37B10', '37B50', '37E05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L10', '46L35', '46L35', '46L36', '46L55', '46L55', '46L55', '46L80', '46L85', '46L99', '47L30', '47L30', '47L55', '47L55', '47L55', '47L65', '47L75', '47L75', '47L80', '51E24', '52C23', '55-02', '57M07', '57M07', '57M07', '57M60', '57Q12', '57S25', '57S25', '57S25', '68Q15', '68Q17', '68Q45', '68Q45', '68Q45', '68Q70', '94A45']"
7203005,Advances in Mathematics,2020,"['47A57', '47A63', '15A42', '15A16', '15A75']","['00A05', '08-01', '12-01', '13-01', '15-02', '15A15', '15A15', '15A15', '15A15', '15A15', '15A15', '15A15', '15A16', '15A30', '15A30', '15A39', '15A39', '15A42', '15A42', '15A42', '15A45', '15A45', '15A45', '15A45', '15A45', '15A45', '15A45', '15A60', '15A60', '15A60', '15A60', '15A63', '15A69', '15A69', '15A75', '15A90', '15A90', '15A99', '15B36', '15B48', '15B51', '15B52', '15B52', '15B57', '15B57', '16-01', '18-01', '26A48', '26B25', '30-02', '30B30', '30B40', '30C40', '30D50', '46E35', '46E35', '46L05', '46L05', '46L99', '46M35', '47A10', '47A30', '47A30', '47A30', '47A56', '47A60', '47A60', '47A63', '47A63', '47A63', '47A63', '47A63', '47A99', '47B10', '47B10', '47N50', '52A40', '60B20', '60F10', '60G35', '60G42', '60G50', '81P15', '81P16', '81P45', '81P45', '81P45', '81P45', '81R15', '82B10', '94A17', '94A17', '94A17', '94A17', '94A40']"
7212190,Advances in Mathematics,2020,"['11M06']","['00A22', '11-01', '11-02', '11-02', '11E39', '11F30', '11F72', '11Fxx', '11G40', '11H06', '11J71', '11K06', '11K06', '11L05', '11L05', '11L05', '11L07', '11L15', '11L40', '11L40', '11L40', '11L40', '11Lxx', '11M06', '11M06', '11M06', '11M06', '11M06', '11M06', '11M06', '11M06', '11M06', '11M06', '11M06', '11M06', '11M06', '11M06', '11M20', '11M20', '11M20', '11M26', '11M26', '11M26', '11M26', '11M99', '11Mxx', '11N05', '11N25', '11N25', '11N35', '11N36', '11N36', '11N37', '11N37', '11N60', '11N75', '11Nxx', '11R42', '11T23', '11T24', '33-00', '40-00', '65A05']"
7212191,Advances in Mathematics,2020,"['14B05', '14E18', '14G10', '32S25', '32S45']","['01A75', '03C10', '11F80', '11G25', '11S15', '11S15', '11S20', '11S20', '11S31', '11S40', '11S40', '11S40', '11S80', '11S80', '11S80', '11S80', '13D40', '14-02', '14A15', '14A15', '14A20', '14A20', '14B05', '14B05', '14B05', '14B05', '14B05', '14B05', '14B05', '14B05', '14B05', '14B05', '14B05', '14B05', '14B05', '14B05', '14B10', '14B10', '14D05', '14D05', '14D05', '14D05', '14E15', '14E15', '14E15', '14E15', '14E15', '14E15', '14E15', '14E15', '14E15', '14E15', '14E15', '14E15', '14E15', '14E16', '14E16', '14E16', '14E16', '14E18', '14E18', '14E18', '14E18', '14E18', '14E18', '14E18', '14E18', '14E18', '14E30', '14E30', '14E30', '14F05', '14F42', '14F42', '14F42', '14F43', '14F43', '14F45', '14G05', '14G10', '14G10', '14G10', '14G10', '14G10', '14G10', '14G20', '14G20', '14H20', '14H20', '14J10', '14J17', '14J17', '14J17', '14J17', '14J30', '14J30', '14J81', '14L30', '14L30', '14M05', '14M07', '14M07', '14M07', '14M17', '14M17', '14M17', '14M25', '14M25', '14M25', '14P10', '32P05', '32S05', '32S05', '32S25', '32S25', '32S25', '32S25', '32S25', '32S25', '32S25', '32S25', '32S35', '32S35', '32S40', '32S40', '32S40', '32S40', '32S45', '32S45', '32S45', '32S45', '32S45', '32S45', '32S45', '32S45', '32S45', '32S50', '32S60', '32Sxx', '41A60', '42A38', '43A25', '43A70', '52B20', '57R45', '58D20', '58K10', '81T30']"
7212192,Advances in Mathematics,2020,"['52C07', '11H06', '52A40']","['05-02', '05B50', '05C90', '05D10', '05D40', '11-02', '11B13', '11B13', '11B25', '11B75', '11B75', '11B75', '11B75', '11H06', '11K31', '11N13', '11P70', '11P82', '26-02', '26-02', '26A51', '26A51', '26D15', '26D15', '26D15', '26D20', '26D20', '26Dxx', '26E60', '28A10', '28C20', '28D05', '33C55', '37A45', '44A10', '47H04', '49-01', '49J40', '49J45', '49J52', '49K40', '49N15', '52-02', '52-02', '52A20', '52A22', '52A39', '52A40', '52A40', '52A40', '52A40', '52A41', '52B20', '52C05', '52C07', '52C07', '54C60', '60E99', '60F99', '90C31', '92C55']"
7212193,Advances in Mathematics,2020,"['18D30', '18N40', '18N50']","['18-02', '18D20', '18D30', '18E35', '18F20', '18G30', '18G30', '18G30', '18G50', '18G55', '18G55', '18G55', '18G55', '55-02', '55-02', '55-02', '55U10', '55U35', '55U35', '55U35', '55U35', '55U35']"
7212194,Advances in Mathematics,2020,"['18M85']","['03-02', '03B15', '03G30', '05C05', '05C05', '05C20', '05C65', '05C99', '08A02', '14D21', '14H10', '14H10', '14H81', '18-01', '18-02', '18-02', '18-02', '18A10', '18A32', '18A40', '18A40', '18B25', '18B40', '18B40', '18C10', '18C15', '18C15', '18C15', '18C20', '18D05', '18D05', '18D10', '18D10', '18D10', '18D10', '18D15', '18D15', '18D20', '18D20', '18D30', '18D35', '18D50', '18D50', '18D50', '18D50', '18D50', '18D50', '18D50', '18D50', '18D50', '18D50', '18D50', '18D50', '18D50', '18D50', '18D50', '18D50', '18D50', '18D50', '18F20', '18F20', '18F20', '18G30', '18G30', '18G30', '18G55', '18G55', '18G55', '18G55', '18G55', '18M05', '18M60', '18M85', '18N10', '18N40', '18N50', '32G15', '32G15', '32G81', '37E25', '55P48', '55P48', '55P48', '55P48', '55P48', '55P48', '55P48', '55P48', '55P48', '55U10', '55U10', '55U10', '55U10', '55U10', '55U10', '55U35', '55U35', '55U35', '55U35', '55U35', '55U40', '55U40', '55U40', '55U40', '57M15', '68Q55', '81Q30', '81T30', '81T40', '81T45']"
7212195,Advances in Mathematics,2020,"['05E10', '05C25', '20B30', '20F55']","['05-02', '05A05', '05A15', '05A15', '05B15', '05C25', '05C25', '05E05', '05E05', '05E05', '05E10', '05E10', '05E10', '05E10', '05E10', '05E10', '05E18', '06A06', '06B05', '06D05', '14F05', '14L30', '14L30', '14L35', '14M17', '15B34', '15B36', '16D60', '16G99', '17B10', '17B20', '17B35', '17B37', '17B37', '17B50', '17B81', '19L47', '20C08', '20C08', '20C08', '20C08', '20C08', '20C08', '20C15', '20C15', '20F55', '20F55', '20F55', '20F55', '20F55', '20G05', '20G05', '20G05', '20G05', '20G05', '20G05', '20G10', '20G15', '20G15', '20G20', '22E47', '22E60', '22E70', '57M25', '82B20', '82B23']"
7212196,Advances in Mathematics,2020,"['33D67', '33D65', '39A13']","['17-02', '17B20', '17B22', '20-02', '20C08', '33-02', '33C05', '33C20', '33C45', '33C45', '33C50', '33C67', '33C70', '33C75', '33C80', '33D05', '33D05', '33D05', '33D05', '33D05', '33D45', '33D52', '33D52', '33D52', '33D52', '33D55', '33D60', '33D60', '33D67', '33D67', '33D67', '33D70', '33D70', '33D70', '33E05', '33E05', '33E30', '39A10', '39A13', '39A13', '39A13', '39A13', '39A13', '81T13', '81T13', '81T40', '81T40', '81T60', '81T60']"
7212197,Advances in Mathematics,2020,"['35K55', '35B45']","['05C50', '26B05', '26B15', '30C62', '30E20', '31B10', '31B25', '31B30', '31B99', '34B45', '35-02', '35-02', '35-02', '35B05', '35B35', '35B45', '35B45', '35B45', '35B45', '35B45', '35B45', '35B45', '35B65', '35B65', '35B65', '35B65', '35B65', '35B65', '35B65', '35B65', '35B65', '35D05', '35D10', '35D10', '35D10', '35D10', '35D10', '35D10', '35D10', '35D30', '35D40', '35D40', '35D40', '35D40', '35D40', '35F15', '35J15', '35J15', '35J15', '35J20', '35J20', '35J25', '35J60', '35J60', '35J60', '35J60', '35J60', '35J60', '35J60', '35J60', '35J65', '35J67', '35J70', '35J70', '35J70', '35J70', '35J70', '35J70', '35J70', '35J92', '35J92', '35Jxx', '35K10', '35K15', '35K51', '35K55', '35K55', '35K55', '35K61', '35K65', '35K65', '35K65', '35K65', '35K65', '35K65', '35K65', '35K67', '35K67', '35K92', '35K92', '35K92', '35K92', '35K92', '35K92', '35K92', '35Kxx', '35Q91', '35Q91', '35R02', '35R05', '49-02', '49J20', '49J45', '49K10', '49M25', '49N60', '49N70', '60H15', '65M06', '68U10', '91A05', '91A05', '91A23', '91A24', '91A46', '91A60', '91A80', '91C20']"
7212198,Advances in Mathematics,2020,"['18M05', '81R05', '20G05', '22E70', '81P40']","['05A15', '05B35', '05C15', '05C31', '05C50', '05C70', '13A50', '13A50', '13D40', '13P10', '14C25', '15A15', '15A21', '15A21', '15A24', '15A69', '15A69', '15B99', '16D70', '16G20', '16G20', '16G60', '16G60', '16Gxx', '16P10', '18-01', '18-01', '18A10', '18D10', '18D10', '18D10', '20G05', '22E70', '22E70', '57M15', '57M25', '68Q05', '68Q05', '68Q05', '68Q10', '68Q12', '68Q12', '68Q17', '68Q17', '68Q25', '68Q25', '68Q25', '68Q25', '68Q25', '68Q25', '68Q25', '68R05', '68R10', '68R10', '68T20', '68U05', '68W05', '68W30', '81-01', '81P16', '81P16', '81P40', '81P40', '81P40', '81P40', '81P45', '81P45', '81P68', '81P68', '81P68', '81Q35', '81R05', '81R05', '81R15', '81R15', '81V70', '82B20', '94A17', '94C10', '94C10']"
7212199,Advances in Mathematics,2020,"['37F15', '37F12']","['28D20', '30-01', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D20', '30D20', '30D20', '30D35', '30D40', '30D40', '37-01', '37A99', '37B45', '37B99', '37C25', '37C25', '37C25', '37C25', '37D99', '37E99', '37F10', '37F10', '37F10', '37F10', '37F10', '37F10', '37F10', '37F10', '37F10', '37F10', '37F10', '37F10', '37F10', '37F10', '37F10', '37F10', '37F20', '37F20', '37F20', '37F20', '37F45', '37F45', '37F45', '37F45', '37F50', '37F50', '37F50', '37F50', '37F50', '37F50', '37F99', '37G99', '37G99', '54H20']"
7212200,Advances in Mathematics,2020,"['14G17', '13A35']","['11F11', '11F25', '11G05', '11G18', '13A02', '13A02', '13A10', '13A30', '13A35', '13A35', '13A35', '13A35', '13A35', '13A35', '13A35', '13B22', '13D45', '13D45', '13D45', '13E15', '13H05', '13H10', '13N10', '13N10', '14-01', '14-02', '14-02', '14-02', '14-03', '14-XX', '14-XX', '14-XX', '14A20', '14A20', '14A20', '14A20', '14A20', '14Axx', '14B05', '14B05', '14C05', '14C17', '14C20', '14C20', '14C35', '14D20', '14D20', '14D20', '14D22', '14D22', '14D23', '14E15', '14E20', '14E30', '14Exx', '14F05', '14F05', '14F05', '14F10', '14F17', '14F20', '14F99', '14Fxx', '14G15', '14G17', '14G22', '14H10', '14H10', '14H40', '14H52', '14H60', '14H60', '14Hxx', '14J15', '14J17', '14J17', '14J29', '14J60', '14J60', '14Jxx', '14L24', '14M07', '14M15', '14M25', '14Nxx', '15A72', '16D60', '16G20', '16G60', '16S32', '18D30', '18E30', '18F20', '32-02', '32-03', '32G13', '32G13', '32L05']"
7212201,Advances in Mathematics,2020,"['11K38', '11L15', '28A78', '28A80']","['11-01', '11-01', '11-02', '11-02', '11-02', '11-02', '11-02', '11-02', '11D79', '11Fxx', '11J13', '11J71', '11J71', '11J71', '11J83', '11J83', '11Jxx', '11K06', '11K06', '11K16', '11K38', '11K45', '11K50', '11K55', '11K60', '11K60', '11L03', '11L03', '11L07', '11L07', '11L07', '11L07', '11L15', '11L15', '11L15', '11L15', '11Lxx', '11Mxx', '11Nxx', '11P05', '11P55', '11P55', '11P55', '11R42', '11T06', '11T23', '11T24', '14K25', '28-02', '28-02', '28A75', '28A78', '28A78', '28A78', '28A78', '28A80', '28A80', '28A80', '28A80', '28A80', '28A80', '28D20', '32-01', '37B99', '37C70', '37D45', '42-01', '42B37', '46-01', '54E50', '54H20', '60-01', '65C10', '65D30', '65D32', '68Q30']"
7212202,Advances in Mathematics,2020,"['58D29', '57R56', '57N80', '57S05', '57R19', '18F60', '57R15']","['18B30', '57N80', '57R15', '57R19', '57R56', '57S05', '58D29']"
7212203,Advances in Mathematics,2020,"['17C70', '17A70', '17B60', '17C10', '17B10']","['16G20', '16G60', '17-02', '17A36', '17A70', '17A70', '17A70', '17A70', '17B05', '17B10', '17B10', '17B10', '17B10', '17B10', '17B10', '17B10', '17B20', '17B20', '17B40', '17B60', '17B60', '17B60', '17B60', '17B60', '17B60', '17B63', '17B65', '17B66', '17B70', '17B70', '17B70', '17B70', '17B80', '17B99', '17C10', '17C10', '17C10', '17C20', '17C20', '17C40', '17C40', '17C50', '17C50', '17C50', '17C55', '17C55', '17C55', '17C55', '17C55', '17C70', '17C70', '17C70', '17C70', '17C70', '17C70', '17C70', '17C70', '17C70', '17C70', '17C70', '17C70', '17C99', '17C99', '17D99', '18-02', '18Gxx', '58A05', '58A10']"
7212204,Advances in Mathematics,2020,"['35B44', '35L71', '35L15']","['34K30', '34K35', '35-02', '35A17', '35B07', '35B07', '35B07', '35B20', '35B33', '35B33', '35B33', '35B40', '35B40', '35B40', '35B40', '35B40', '35B44', '35B44', '35B44', '35B44', '35B44', '35B44', '35B44', '35B44', '35B44', '35B44', '35B44', '35B44', '35B44', '35B44', '35B44', '35B45', '35B65', '35C06', '35C06', '35C06', '35C10', '35J10', '35K30', '35L05', '35L05', '35L15', '35L15', '35L15', '35L15', '35L15', '35L15', '35L15', '35L15', '35L15', '35L15', '35L15', '35L15', '35L15', '35L52', '35L70', '35L70', '35L70', '35L70', '35L70', '35L70', '35L70', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35P25', '35P25', '35Q41', '35Q53', '35Q55', '35S05', '47-02', '47-02', '47A10', '47A40', '47A55', '47D06', '47D06', '58J05', '58J45', '58J45', '58J45', '58J60', '74H35', '74J30', '74J40', '83C05', '83C25', '83C57']"
7212205,Advances in Mathematics,2020,"['70F10', '37B30', '58J30', '53D12', '70F15', '70F16', '70G75']","['19K56', '19K56', '34A12', '34A12', '34A26', '34B09', '34B15', '34B15', '34B24', '34C05', '34C25', '34C25', '34C25', '34C37', '34C37', '34K18', '34L05', '35B32', '35J57', '35J61', '37-02', '37-02', '37A30', '37B30', '37B30', '37B30', '37B30', '37B30', '37B30', '37C10', '37C29', '37C75', '37C80', '37D99', '37G25', '37G99', '37G99', '37J05', '37J05', '37J10', '37J25', '37J35', '37J45', '37J45', '37J45', '37J45', '37J45', '37J45', '37J45', '37J45', '37J45', '37J99', '37J99', '37J99', '37K45', '37N05', '37N05', '37N05', '37N05', '37N99', '46L80', '46M20', '47A07', '47A50', '47A53', '47A53', '47A53', '47A53', '47A53', '47A53', '47A53', '47E05', '47H11', '47H11', '49K05', '53C17', '53C20', '53C22', '53C22', '53C22', '53C22', '53D12', '53D12', '53D12', '53D12', '53D12', '53D12', '53D12', '53D12', '53D12', '53D12', '53D12', '53D12', '53D12', '53D20', '58-02', '58B15', '58E05', '58E05', '58E05', '58E05', '58E05', '58E05', '58E05', '58E05', '58E07', '58E07', '58E10', '58E10', '58E10', '58E10', '58E10', '58E30', '58J20', '58J20', '58J22', '58J30', '58J30', '58J30', '58J30', '58J30', '58J30', '58J30', '58J30', '58J30', '58J30', '58J30', '58J32', '58J32', '58J55', '58J55', '70F05', '70F05', '70F05', '70F07', '70F07', '70F07', '70F07', '70F10', '70F10', '70F10', '70F10', '70F10', '70F10', '70F10', '70F10', '70F10', '70F10', '70F10', '70F10', '70F10', '70F15', '70F15', '70F15', '70F16', '70F16', '70F16', '70F16', '70F16', '70F16', '70F35', '70F35', '70F35', '70F35', '70G10', '70G45', '70G75', '70H03', '70H05', '70H08', '70H12', '70H20', '70K05', '70K20', '70M20', '90-01', '90-02', '90C25', '90C90']"
7212206,Advances in Mathematics,2020,"['13F60', '11A55', '11B83', '30B70']","['00A05', '00A05', '05-01', '05-02', '05A05', '05A10', '05A15', '05B45', '05C70', '05C70', '05C70', '05C70', '05E10', '05E15', '05E15', '05E15', '11-01', '11-02', '11A55', '11A55', '11A55', '11A55', '11Axx', '11B65', '11D25', '11J06', '11J06', '11J06', '11J70', '13F60', '13F60', '13F60', '13F60', '13F60', '13F60', '13F60', '13F60', '13F60', '16G20', '20-01', '30B70', '30B70', '57K14', '57Q15', '57Q15', '68-01', '68R15']"
7212207,Advances in Mathematics,2020,"['05E45', '05E14', '52B20', '14T15', '14N15', '14M25']","['05B35', '05C15', '05C20', '05E15', '05E45', '05E45', '06A06', '12J10', '13C40', '13F20', '13P10', '14M12', '14M15', '14M15', '14M25', '14M25', '14M25', '14M25', '14M25', '14N10', '14N15', '14N15', '14P99', '14T05', '14T05', '14T05', '14T05', '14T05', '14T05', '14T05', '14T05', '14T05', '14T05', '15A15', '15A80', '16Y60', '32S22', '51M20', '52-02', '52A30', '52B05', '52B10', '52B11', '52B11', '52B11', '52B11', '52B11', '52B12', '52B20', '52B20', '52B20', '52B20', '52B40', '52B40', '52B40', '52B40', '52B45', '52B55', '52B70', '52B99', '52C22', '52C22', '52C35', '52C35', '52C40', '52C40', '55-02', '55U10', '68R05', '68U05', '68W30']"
7212208,Advances in Mathematics,2020,"['14M25', '53D20', '62F10']","['05A15', '05A99', '05C65', '05C90', '13P10', '13P10', '13P25', '13P25', '14-01', '14-02', '14C15', '14C17', '14E07', '14E07', '14L30', '14M12', '14M15', '14M17', '14M25', '14M25', '14M25', '14M25', '14M25', '14M25', '14M25', '14M25', '14N05', '14N25', '14Q15', '14Q99', '37J15', '52B20', '52C07', '53-01', '53-01', '53-02', '53C15', '53C55', '53D05', '53D10', '53D12', '53D15', '53D20', '53D20', '53Dxx', '55N91', '55U10', '57-01', '57-02', '57R17', '57S25', '57S25', '60E99', '62-02', '62F10', '62F10', '62F10', '62H17', '62H99', '65D17', '65D17', '65D17', '65D17', '68U05', '68U07', '68W30', '70H33', '90C10']"
7212209,Advances in Mathematics,2020,"['35B35', '58J45', '35R01']","['22E30', '22E30', '30F40', '31C05', '31C12', '35-02', '35A05', '35A05', '35A07', '35B30', '35B30', '35B33', '35B33', '35B35', '35B35', '35B35', '35B40', '35B40', '35B40', '35B40', '35B44', '35B44', '35B45', '35B45', '35B45', '35B65', '35B65', '35B65', '35B65', '35B65', '35B65', '35B65', '35C06', '35C08', '35C08', '35C08', '35C15', '35J10', '35J10', '35J60', '35K05', '35K55', '35K59', '35L05', '35L05', '35L05', '35L05', '35L05', '35L05', '35L05', '35L05', '35L05', '35L05', '35L15', '35L15', '35L15', '35L15', '35L15', '35L15', '35L20', '35L25', '35L51', '35L52', '35L55', '35L55', '35L57', '35L70', '35L70', '35L70', '35L70', '35L70', '35L70', '35L70', '35L70', '35L70', '35L70', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35L71', '35P05', '35P10', '35P20', '35P25', '35P25', '35P25', '35Q40', '35Q40', '35Q51', '35Q51', '35Q55', '35Q55', '35Q75', '35Q75', '35Q75', '35Q76', '35R01', '37C75', '37D40', '37K40', '37K40', '42A45', '42B15', '43A85', '43A85', '43A85', '43A90', '43A90', '46E30', '46E35', '47-02', '47A10', '47A10', '47A40', '47A40', '47B38', '47D03', '47F05', '47H20', '47J35', '47J35', '51P05', '53B25', '53B30', '53C05', '53C20', '53C20', '53C20', '53C21', '53C21', '53C25', '53C35', '53C44', '53C50', '53D50', '53Z05', '57-02', '57R17', '57R22', '58C15', '58D25', '58D25', '58D25', '58E20', '58E20', '58E20', '58E20', '58E20', '58J05', '58J32', '58J32', '58J32', '58J35', '58J35', '58J37', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J45', '58J50', '58J50', '58J50', '58J50', '81-02', '81Q05', '81Q05', '81Q05', '81T08', '81T13', '81T13', '81U05', '83C05', '83C15', '83C40', '83C57']"
7212210,Advances in Mathematics,2020,"['13N15']","['13A35', '13B10', '13B10', '13B22', '13E15', '13H05', '13N05', '13N05', '13N10', '13N15', '13N15', '13N15', '13N15', '13N15', '13N15', '14-02', '14Axx', '14B05', '14F10', '14Fxx']"
7212211,Advances in Mathematics,2020,"['58E20', '53C43']","['31B30', '31B30', '31B30', '31B30', '31B30', '32-02', '32Q45', '32Q99', '35D10', '35J48', '35J91', '35N15', '37C05', '37J05', '49J45', '49Q20', '49Q99', '53-02', '53-02', '53-02', '53A07', '53B30', '53B50', '53C20', '53C20', '53C20', '53C25', '53C30', '53C40', '53C40', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C43', '53C43', '53C43', '53C43', '53C43', '53C43', '53C43', '53C43', '53C43', '53C43', '53C43', '53C43', '53C43', '53C43', '53C50', '53C55', '53C80', '55P99', '58-02', '58E05', '58E12', '58E15', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58E20', '58J50', '83-02']"
7212212,Advances in Mathematics,2020,"['53C26', '32W20']","['14J32', '30G35', '32F17', '32Q25', '32Q25', '32Q25', '32Q25', '32Q25', '32Q25', '32U05', '32U05', '32U05', '32W20', '32W20', '32W20', '35J60', '35J96', '35J96', '35Q99', '53C07', '53C15', '53C25', '53C26', '53C26', '53C26', '53C26', '53C26', '53C26', '53C26', '53C26', '53C26', '53C55', '53C55', '53C55', '53C55', '53C55', '58A14', '58J10', '58J60', '58J60', '58J60', '81T60']"
